2022-11-19 17:41:23,113 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:26,115 INFO   my_server Client ('127.0.0.1', 54186) disconected from server
2022-11-19 17:42:15,851 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:42:15,851 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:42:19,942 INFO   my_server Connection established with ('127.0.0.1', 54207)
2022-11-19 17:42:20,442 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861739.9416819, 'type': 'status', 'user': {'account_name': 'adg', 'status': 'Я онлайн!'}}
2022-11-19 17:42:20,443 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:42:21,944 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861741.8211212, 'account_name': 'adg', 'destination': None, 'message_text': 'ssh'}
2022-11-19 17:42:21,944 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:42:23,445 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861743.0451417, 'account_name': 'adg', 'destination': None, 'message_text': 'dfsf'}
2022-11-19 17:42:23,446 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:42:24,446 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861744.3410814, 'account_name': 'adg', 'destination': None, 'message_text': 'dfhdf'}
2022-11-19 17:42:24,447 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:42:27,448 INFO   my_server Client ('127.0.0.1', 54207) disconected from server
2022-11-19 17:43:05,778 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:43:05,778 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:43:08,975 INFO   my_server Connection established with ('127.0.0.1', 54229)
2022-11-19 17:43:09,476 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861788.9752908, 'type': 'status', 'user': {'account_name': 'sdsd', 'status': 'Я онлайн!'}}
2022-11-19 17:43:09,477 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:43:10,477 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861790.2848618, 'account_name': 'sdsd', 'destination': None, 'message_text': 'dgjd'}
2022-11-19 17:43:10,478 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:43:38,724 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861818.3568366, 'account_name': 'sdsd', 'destination': None, 'message_text': 'jhg\\'}
2022-11-19 17:43:38,724 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:43:53,362 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:43:53,362 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:43:57,311 INFO   my_server Connection established with ('127.0.0.1', 54242)
2022-11-19 17:43:57,811 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861837.3107567, 'type': 'status', 'user': {'account_name': 'sh', 'status': 'Я онлайн!'}}
2022-11-19 17:43:57,812 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:43:58,813 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861838.5408366, 'account_name': 'sh', 'destination': None, 'message_text': 'wrh'}
2022-11-19 17:43:58,813 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:43:59,815 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861839.58078, 'account_name': 'sh', 'destination': None, 'message_text': 'dfhd'}
2022-11-19 17:43:59,815 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:44:00,817 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861840.7092116, 'account_name': 'sh', 'destination': None, 'message_text': 'dfh'}
2022-11-19 17:44:00,817 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:44:03,319 INFO   my_server Client ('127.0.0.1', 54242) disconected from server
2022-11-19 17:47:18,723 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:47:18,723 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:47:22,966 INFO   my_server Connection established with ('127.0.0.1', 54299)
